RecordId,Address,Zip_Original,Species,Diameter,Condition,Wires,Sidewalk_Condition,Support_Structure,Borough,Longitude,Latitude,Zip_New,CensusTract_2010,CensusBlock_2010,SegmentID,Spc_Common,Spc_Latin,Location
155,199 CHAMBERS ST,10013,QUPA,2,Good,None,Good,None,Manhattan,-74.012281,40.71692,10013,39,3000,31478,"OAK, PIN",QUERCUS PALUSTRIS,"(40.71692, -74.012281)"
156,199 CHAMBERS ST,10013,QUPA,2,Good,None,Good,None,Manhattan,-74.012281,40.71692,10013,39,3000,31478,"OAK, PIN",QUERCUS PALUSTRIS,"(40.71692, -74.012281)"
157,199 CHAMBERS ST,10013,QUPA,3,Good,None,Good,None,Manhattan,-74.012281,40.71692,10013,39,3000,31478,"OAK, PIN",QUERCUS PALUSTRIS,"(40.71692, -74.012281)"
158,199 CHAMBERS ST,10013,QUPA,4,Poor,None,Good,None,Manhattan,-74.012281,40.71692,10013,39,3000,31478,"OAK, PIN",QUERCUS PALUSTRIS,"(40.71692, -74.012281)"
159,199 CHAMBERS ST,10013,GLTR,3,Good,None,Good,None,Manhattan,-74.012281,40.71692,10013,39,3000,31478,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.71692, -74.012281)"
160,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
161,199 CHAMBERS ST,10013,QURU,4,Excellent,None,Good,None,Manhattan,-74.012281,40.71692,10013,39,3000,31478,"OAK, NORTHERN RED",QUERCUS RUBRA,"(40.71692, -74.012281)"
162,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
163,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
164,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
165,199 CHAMBERS ST,10013,GLTR,4,Excellent,None,Good,None,Manhattan,-74.012281,40.71692,10013,39,3000,31478,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.71692, -74.012281)"
166,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
167,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
168,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
169,199 CHAMBERS ST,10013,QURU,3,Excellent,None,Good,None,Manhattan,-74.012281,40.71692,10013,39,3000,31478,"OAK, NORTHERN RED",QUERCUS RUBRA,"(40.71692, -74.012281)"
170,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
171,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
